ACEI,Type,dmd,Description
Captopril,ACEI,1346511000001104,Tensopril 12.5mg tablets (IVAX Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1346611000001100,Captopril 12.5mg tablets (Kent Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1346711000001109,Captopril 12.5mg tablets (Kent Pharmaceuticals Ltd) 100 tablet (product)
Captopril,ACEI,1346811000001101,Captopril 12.5mg tablets (Sandoz Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1347011000001105,Captopril 12.5mg tablets (Sterwin Medicines) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1347511000001102,Captopril 12.5mg tablets (Unichem Plc) 56 tablet (product)
Captopril,ACEI,1347811000001104,Captopril 12.5mg tablets (Unichem Plc) 100 tablet (product)
Captopril,ACEI,1392811000001106,Captopril 25mg tablets (A A H Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1393211000001104,Captopril 25mg tablets (Alpharma Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1394011000001106,Captopril 25mg tablets (Approved Prescription Services) 56 tablet 2 x 28 tablets (product)
Captopril,ACEI,1394411000001102,Kaplon 25mg tablets (Teva UK Ltd) 56 tablet 2 x 28 tablets (product)
Captopril,ACEI,1394511000001103,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1394611000001104,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 84 tablet 6 x 14 tablets (product)
Captopril,ACEI,1394711000001108,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 100 tablet (product)
Captopril,ACEI,1394911000001105,Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1395011000001105,Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 84 tablet 6 x 14 tablets (product)
Captopril,ACEI,1403911000001100,Captopril 25mg tablets (Generics (UK) Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1404011000001102,Ecopace 25mg tablets (Goldshield Healthcare Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1404111000001101,Tensopril 25mg tablets (IVAX Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1404211000001107,Captopril 25mg tablets (Kent Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1404311000001104,Captopril 25mg tablets (Kent Pharmaceuticals Ltd) 100 tablet (product)
Captopril,ACEI,1404411000001106,Captopril 25mg tablets (Sandoz Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1404511000001105,Captopril 25mg tablets (Sterwin Medicines) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1404611000001109,Captopril 25mg tablets (Unichem Plc) 56 tablet (product)
Captopril,ACEI,1404711000001100,Captopril 25mg tablets (Unichem Plc) 100 tablet (product)
Captopril,ACEI,1404811000001108,Captopril 50mg tablets (A A H Pharmaceuticals Ltd) 56 tablet 4 x 14 tablet (product)
Captopril,ACEI,1405011000001103,Captopril 50mg tablets (Alpharma Limited) 56 tablet (product)
Captopril,ACEI,1405111000001102,Captopril 50mg tablets (Approved Prescription Services) 56 tablet 2 x 28 tablets (product)
Captopril,ACEI,1405711000001101,Kaplon 50mg tablets (Teva UK Ltd) 56 tablet 2 x 28 tablets (product)
Captopril,ACEI,1405911000001104,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 84 tablet 6 x 14 tablets (product)
Captopril,ACEI,1406011000001107,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1406311000001105,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 100 tablet (product)
Captopril,ACEI,1406411000001103,Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1406611000001100,Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 84 tablet 6 x 14 tablets (product)
Captopril,ACEI,1406811000001101,Captomex 50mg tablets (Alpharma Limited) 56 tablet (product)
Captopril,ACEI,1406911000001106,Captopril 50mg tablets (Generics (UK) Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1407011000001105,Ecopace 50mg tablets (Goldshield Healthcare Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1407211000001100,Tensopril 50mg tablets (IVAX Pharmaceuticals UK Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1407411000001101,Captopril 50mg tablets (Kent Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1407611000001103,Captopril 50mg tablets (Sandoz Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1407711000001107,Captopril 50mg tablets (Sterwin Medicines) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1407811000001104,Captopril 50mg tablets (Unichem Plc) 56 tablet (product)
Captopril,ACEI,1407911000001109,Captopril 50mg tablets (Unichem Plc) 100 tablet (product)
Captopril,ACEI,1592611000001105,Captomex 25mg tablets (Alpharma Limited) 56 tablet (product)
Captopril,ACEI + TZ,1916311000001105,Co-zidocapt 25mg/50mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI + TZ,1916511000001104,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI + TZ,1916911000001106,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI + TZ,1917211000001100,Co-zidocapt 25mg/50mg tablets (Unichem Plc) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI + TZ,1917411000001101,Co-zidocapt 25mg/50mg tablets (Sandoz Ltd) 30 tablet 3 x 10 tablets (product)
Captopril,ACEI,2307301000001100,Acepril 50mg tablets x56
Captopril,ACEI,2604201000001109,Capoten (qualifier value)
Captopril,ACEI + TZ,2628211000001105,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI + TZ,2628311000001102,Co-zidocapt 12.5mg/25mg tablets (Unichem Plc) 28 tablet (product)
Captopril,ACEI + TZ,2628811000001106,Co-zidocapt 12.5mg/25mg tablets (Sandoz Ltd) 30 tablet 3 x 10 tablets (product)
Captopril,ACEI,2932001000001101,Ecopace 12.5mg tablet
Captopril,ACEI,2932101000001100,Ecopace 25mg tablet
Captopril,ACEI,2932201000001107,Ecopace 50mg tablet
Captopril,ACEI,2932301000001103,Ecopace (qualifier value)
Captopril,ACEI,2942101000001101,Kaplon 12.5mg tablet
Captopril,ACEI,2942201000001108,Kaplon 25mg tablet
Captopril,ACEI,2942301000001104,Kaplon 50mg tablet
Captopril,ACEI,2942401000001107,Kaplon (qualifier value)
Captopril,ACEI + TZ,3237901000001108,Capozide (qualifier value)
Captopril,ACEI + TZ,3238001000001105,Capozide LS (qualifier value)
Captopril,ACEI + TZ,3277301000001105,Acezide (qualifier value)
Captopril,ACEI,3404801000001100,Hyteneze 12.5 tablet
Captopril,ACEI,3404901000001106,Hyteneze 25 tablet
Captopril,ACEI,3405001000001106,Hyteneze 50 tablet
Captopril,ACEI,3405201000001100,Hyteneze 25 (qualifier value)
Captopril,ACEI,3405301000001109,Hyteneze 50 (qualifier value)
Captopril,ACEI,3405401000001101,Tensopril 12.5mg tablet
Captopril,ACEI,3405501000001102,Tensopril 25mg tablet
Captopril,ACEI,3405601000001103,Tensopril 50mg tablet
Captopril,ACEI,3405701000001108,Tensopril (qualifier value)
Captopril,ACEI,3519611000001109,Captopril (substance)
Captopril,ACEI + TZ,3644001000001102,Capto-Co 25mg/12.5mg tablet
Captopril,ACEI + TZ,3644101000001101,Capto-Co 50mg/25mg tablet
Captopril,ACEI + TZ,3644201000001108,Capto-Co (qualifier value)
Captopril,ACEI + TZ,4305301000001101,Co-zidocapt (product)
Captopril,ACEI,5344511000001109,Capoten 25mg tablets (PI) (Waymade Ltd) (product)
Captopril,ACEI,5344611000001108,Capoten 25mg tablets (PI) (Waymade Ltd) 56 tablet (product)
Captopril,ACEI,5346011000001106,Capoten 50mg tablets (PI) (Waymade Ltd) (product)
Captopril,ACEI,5346111000001107,Capoten 50mg tablets (PI) (Waymade Ltd) 56 tablet (product)
Captopril,ACEI + TZ,5347211000001104,Capozide 25mg/50mg tablets (PI) (Waymade Ltd) (product)
Captopril,ACEI + TZ,5347311000001107,Capozide 25mg/50mg tablets (PI) (Waymade Ltd) 30 tablet (product)
Captopril,ACEI,5454511000001102,Captopril 25mg tablets 60 tablet (product)
Captopril,ACEI,5454611000001103,Captopril 25mg tablets (PI) (Dowelhurst Ltd) (product)
Captopril,ACEI,5454711000001107,Captopril 25mg tablets (PI) (Dowelhurst Ltd) 60 tablet 2 x 30 tablets (product)
Captopril,ACEI + TZ,5470311000001103,Co-zidocapt 12.5mg/25mg tablets (Kent Pharmaceuticals Ltd) (product)
Captopril,ACEI + TZ,5470611000001108,Co-zidocapt 12.5mg/25mg tablets (Kent Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI + TZ,5470811000001107,Co-zidocapt 25mg/50mg tablets (Kent Pharmaceuticals Ltd) (product)
Captopril,ACEI + TZ,5471111000001106,Co-zidocapt 25mg/50mg tablets (Kent Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI,5528611000001104,Captopril 12.5mg tablets 60 tablet (product)
Captopril,ACEI,5528711000001108,Capoten 12.5mg tablets (PI) (Dowelhurst Ltd) (product)
Captopril,ACEI,5528911000001105,Capoten 12.5mg tablets (PI) (Dowelhurst Ltd) 60 tablet 6 x 10 tablets (product)
Captopril,ACEI,5530211000001102,Capoten 25mg tablets (PI) (Dowelhurst Ltd) (product)
Captopril,ACEI,5530411000001103,Capoten 25mg tablets (PI) (Dowelhurst Ltd) 60 tablet 2 x 30 tablets (product)
Captopril,ACEI,5531311000001100,Captopril 50mg tablets 28 tablet (product)
Captopril,ACEI,5531711000001101,Capoten 50mg tablets (PI) (Dowelhurst Ltd) (product)
Captopril,ACEI,5531911000001104,Capoten 50mg tablets (PI) (Dowelhurst Ltd) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI,5532011000001106,Capoten 50mg tablets (PI) (Dowelhurst Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI + TZ,5620211000001105,Capozide 25mg/50mg tablets (PI) (Dowelhurst Ltd) (product)
Captopril,ACEI + TZ,5620311000001102,Co-zidocapt 25mg/50mg tablets 20 tablet (product)
Captopril,ACEI + TZ,5620411000001109,Capozide 25mg/50mg tablets (PI) (Dowelhurst Ltd) 20 tablet 2 x 10 tablets (product)
Captopril,ACEI + TZ,7492911000001107,Co-zidocapt 12.5mg/25mg tablets (A A H Pharmaceuticals Ltd) (product)
Captopril,ACEI + TZ,7493211000001109,Co-zidocapt 12.5mg/25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets (product)
Captopril,ACEI,7658411000001107,Captopril 5mg/ml oral solution sugar free 95 ml (product)
Captopril,ACEI,7658811000001109,Capoten 5mg/ml oral solution (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,7658911000001104,Capoten 5mg/ml oral solution (Bristol-Myers Squibb Pharmaceuticals Limited) 95 ml (product)
Captopril,ACEI,7659911000001107,Captopril 5mg/ml oral solution sugar free (product)
Captopril,ACEI,8310611000001100,Captopril 10mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8310711000001109,Captopril 10mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8310811000001101,Captopril 10mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8311011000001103,Captopril 10mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8311111000001102,Captopril 10mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8311311000001100,Captopril 10mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8311511000001106,Captopril 1.25mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8311611000001105,Captopril 1.25mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8311711000001101,Captopril 11.25mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8311811000001109,Captopril 1.25mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8311911000001104,Captopril 11.25mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8312011000001106,Captopril 11.25mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8312111000001107,Captopril 11.25mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8312211000001101,Captopril 1.25mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8312311000001109,Captopril 11.25mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8312411000001102,Captopril 11.25mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8312511000001103,Captopril 1.25mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8312611000001104,Captopril 1.25mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8312711000001108,Captopril 12.5mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8312811000001100,Captopril 12.5mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8312911000001105,Captopril 1.5mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8313011000001102,Captopril 15mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8313111000001101,Captopril 12.5mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8313211000001107,Captopril 1.5mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8313311000001104,Captopril 15mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8313411000001106,Captopril 1.5mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8313511000001105,Captopril 15mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8313611000001109,Captopril 12.5mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8313711000001100,Captopril 15mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8313811000001108,Captopril 1.5mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8313911000001103,Captopril 15mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8314011000001100,Captopril 1.5mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8314111000001104,Captopril 12.5mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8314211000001105,Captopril 15mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8314411000001109,Captopril 12.5mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8314511000001108,Captopril 17mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8314611000001107,Captopril 17mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8314711000001103,Captopril 17mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8314811000001106,Captopril 17mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8314911000001101,Captopril 17mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8315011000001101,Captopril 17mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8315111000001100,Captopril 2.5mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8315211000001106,Captopril 20mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8315311000001103,Captopril 20mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8315411000001105,Captopril 20mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8315511000001109,Captopril 1mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8315611000001108,Captopril 2.5mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8315711000001104,Captopril 20mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8315811000001107,Captopril 1mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8315911000001102,Captopril 2.5mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8316011000001105,Captopril 20mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8316111000001106,Captopril 1mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8316211000001100,Captopril 20mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8316311000001108,Captopril 1mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8316411000001101,Captopril 1mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8316511000001102,Captopril 1mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8316611000001103,Captopril 2.5mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8316711000001107,Captopril 2.5mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8316811000001104,Captopril 2.5mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8316911000001109,Captopril 25mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8317011000001108,Captopril 25mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8317111000001109,Captopril 25mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8317211000001103,Captopril 2mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8317311000001106,Captopril 2mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8317411000001104,Captopril 2mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8317511000001100,Captopril 25mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8317611000001101,Captopril 25mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8317711000001105,Captopril 2mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8317811000001102,Captopril 25mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8317911000001107,Captopril 2mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8318011000001109,Captopril 2mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8318111000001105,Captopril 1.5mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8318311000001107,Captopril 3.25mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8318611000001102,Captopril 3.25mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8318811000001103,Captopril 3.25mg/5ml oral solution (Special Order) 1 ml (product)
Captopril,ACEI,8319011000001104,Captopril 3.25mg/5ml oral suspension 1 ml (product)
Captopril,ACEI,8319211000001109,Captopril 3.25mg/5ml oral suspension (Special Order) (product)
Captopril,ACEI,8319311000001101,Captopril 3.25mg/5ml oral suspension (Special Order) 1 ml (product)
Captopril,ACEI,8319611000001106,Captopril 3.125mg/5ml oral solution 1 ml (product)
Captopril,ACEI,8319811000001105,Captopril 3.125mg/5ml oral solution (Special Order) (product)
Captopril,ACEI,8319911000001100,Captopril 500micrograms/5ml oral solution 1 ml (product)
