ARB,Type,dmd,Description
Candesartan,ARB,5343611000001105,Candesartan 4mg tablets 30 tablet (product)
Candesartan,ARB,5343811000001109,Candesartan 4mg tablets (PI) (Waymade Ltd) 30 tablet 3 x 10 tablets (product)
Candesartan,ARB,5344011000001101,Candesartan 8mg tablets (PI) (Waymade Ltd) (product)
Candesartan,ARB,5345111000001101,Candesartan 8mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,5345711000001100,Candesartan 16mg tablets (PI) (Waymade Ltd) (product)
Candesartan,ARB,5345811000001108,Candesartan 16mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,5444311000001105,Amias 8mg tablets (PI) (Dowelhurst Ltd) (product)
Candesartan,ARB,5444411000001103,Amias 8mg tablets (PI) (Dowelhurst Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,5444811000001101,Amias 16mg tablets (PI) (Dowelhurst Ltd) (product)
Candesartan,ARB,5444911000001106,Amias 16mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
Candesartan,ARB,5445211000001101,Candesartan 16mg tablets (PI) (Dowelhurst Ltd) (product)
Candesartan,ARB,5445311000001109,Candesartan 16mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
Candesartan,ARB,5453311000001106,Candesartan 8mg tablets (PI) (Dowelhurst Ltd) (product)
Candesartan,ARB,5453411000001104,Candesartan 8mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
Candesartan,ARB,5481611000001107,Candesartan 4mg tablets (PI) (Dowelhurst Ltd) (product)
Candesartan,ARB,5481811000001106,Candesartan 4mg tablets (PI) (Dowelhurst Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,5482411000001104,Candesartan 16mg tablets (PI) (Dowelhurst Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,5519411000001104,Amias 4mg tablets (PI) (Dowelhurst Ltd) (product)
Candesartan,ARB,5519611000001101,Amias 4mg tablets (PI) (Dowelhurst Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,8558501000001105,Candesartan cilexetil 32mg tablet (product)
Candesartan,ARB,8604301000001106,Amias 32mg tablet (product)
Candesartan,ARB,8983811000001102,Candesartan 32mg tablets 28 tablet (product)
Candesartan,ARB,8983911000001107,Amias 32mg tablets (Takeda UK Ltd) (product)
Candesartan,ARB,8984011000001105,Amias 32mg tablets (Takeda UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,8985911000001108,Candesartan 32mg tablets (product)
Candesartan,ARB,9205101000001108,Amias (product)
Candesartan,ARB,11145711000001107,Candesartan 8mg tablets 30 tablet (product)
Candesartan,ARB,11145811000001104,Candesartan 8mg tablets (Waymade Ltd) 30 tablet (product)
Candesartan,ARB,13827311000001102,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,13827411000001109,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,13827511000001108,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) 30 tablet (product)
Candesartan,ARB,13827611000001107,Amias 8mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,13827711000001103,Amias 8mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,13827811000001106,Amias 8mg tablets (Doncaster Pharmaceuticals Ltd) 30 tablet (product)
Candesartan,ARB,13840211000001109,Candesartan 4mg tablets (PI) (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,13840311000001101,Candesartan 4mg tablets (Doncaster Pharmaceuticals Ltd) 30 tablet (product)
Candesartan,ARB,13840411000001108,Candesartan 8mg tablets (PI) (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,13840511000001107,Candesartan 8mg tablets (Doncaster Pharmaceuticals Ltd) 30 tablet (product)
Candesartan,ARB,13840611000001106,Candesartan 16mg tablets (PI) (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,13840711000001102,Candesartan 16mg tablets (PI) (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,14310911000001109,Candesartan 8mg tablets (PI) (Sigma Pharmaceuticals Plc) (product)
Candesartan,ARB,14311411000001105,Candesartan 8mg tablets (PI) (Sigma Pharmaceuticals Plc) 28 tablet (product)
Candesartan,ARB,14312711000001106,Candesartan 16mg tablets (PI) (Sigma Pharmaceuticals Plc) (product)
Candesartan,ARB,14312811000001103,Candesartan 16mg tablets (PI) (Sigma Pharmaceuticals Plc) 28 tablet (product)
Candesartan,ARB,14313611000001107,Candesartan 4mg tablets (PI) (Sigma Pharmaceuticals Plc) (product)
Candesartan,ARB,14313711000001103,Candesartan 4mg tablets (Sigma Pharmaceuticals Plc) 30 tablet (product)
Candesartan,ARB,15046811000001100,Candesartan 16mg tablets 30 tablet (product)
Candesartan,ARB,15046911000001105,Candesartan 16mg tablets (Waymade Healthcare Plc) 30 tablet (product)
Candesartan,ARB,15816911000001101,Candesartan 4mg/5ml oral suspension 1 ml (product)
Candesartan,ARB,15817011000001102,Candesartan 4mg/5ml oral suspension (Special Order) (product)
Candesartan,ARB,15817111000001101,Candesartan 4mg/5ml oral suspension (Special Order) 1 ml (product)
Candesartan,ARB,15825311000001103,Candesartan 4mg/5ml oral suspension (product)
Candesartan,ARB,15851111000001101,Candesartan 8mg/5ml oral suspension 1 ml (product)
Candesartan,ARB,15851511000001105,Candesartan 8mg/5ml oral suspension (Special Order) (product)
Candesartan,ARB,15851611000001109,Candesartan 8mg/5ml oral suspension (Special Order) 1 ml (product)
Candesartan,ARB,15851711000001100,Candesartan 8mg/5ml oral solution 1 ml (product)
Candesartan,ARB,15851811000001108,Candesartan 8mg/5ml oral solution (Special Order) (product)
Candesartan,ARB,15851911000001103,Candesartan 8mg/5ml oral solution (Special Order) 1 ml (product)
Candesartan,ARB,15853011000001101,Candesartan 8mg/5ml oral solution (product)
Candesartan,ARB,15853111000001100,Candesartan 8mg/5ml oral suspension (product)
Candesartan,ARB,15882011000001101,Candesartan 4mg/5ml oral solution 1 ml (product)
Candesartan,ARB,15882111000001100,Candesartan 4mg/5ml oral solution (Special Order) (product)
Candesartan,ARB,15882211000001106,Candesartan 4mg/5ml oral solution (Special Order) 1 ml (product)
Candesartan,ARB,15913211000001107,Candesartan 4mg/5ml oral solution (product)
Candesartan,ARB,16260211000001100,Amias 4mg tablets (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,16260311000001108,Amias 4mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
Candesartan,ARB,16260511000001102,Amias 32mg tablets (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,16260711000001107,Amias 32mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
Candesartan,ARB,16353011000001102,Candesartan 4mg tablets (PI) (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,16353611000001109,Candesartan 8mg tablets (PI) (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,16353711000001100,Candesartan 4mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet (product)
Candesartan,ARB,16353811000001108,Candesartan 16mg tablets (PI) (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,16354111000001104,Candesartan 16mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet (product)
Candesartan,ARB,16365611000001102,Candesartan 8mg tablets (Mawdsley-Brooks & Company Ltd) 30 tablet (product)
Candesartan,ARB,17490811000001102,Amias 16mg tablets (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,17490911000001107,Amias 16mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
Candesartan,ARB,17583111000001106,Amias 16mg tablets (Necessity Supplies Ltd) (product)
Candesartan,ARB,17583211000001100,Amias 16mg tablets (Necessity Supplies Ltd) 28 tablet (product)
Candesartan,ARB,17583411000001101,Amias 4mg tablets (Necessity Supplies Ltd) (product)
Candesartan,ARB,17583611000001103,Amias 4mg tablets (Necessity Supplies Ltd) 28 tablet (product)
Candesartan,ARB,17583811000001104,Amias 8mg tablets (Necessity Supplies Ltd) (product)
Candesartan,ARB,17584011000001107,Amias 8mg tablets (Necessity Supplies Ltd) 28 tablet (product)
Candesartan,ARB,18483911000001108,Amias 2mg tablets (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,18484011000001106,Amias 2mg tablets (Mawdsley-Brooks & Company Ltd) 7 tablet (product)
Candesartan,ARB,18545111000001109,Amias 32mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,18545211000001103,Amias 32mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,18623311000001100,Candesartan 16mg tablets (Doncaster Pharmaceuticals Ltd) 30 tablet (product)
Candesartan,ARB,19726911000001104,Amias 8mg tablets (Mawdsley-Brooks & Company Ltd) (product)
Candesartan,ARB,19727111000001104,Amias 8mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
Candesartan,ARB,19734011000001105,Amias 4mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,19734111000001106,Amias 4mg tablets (Waymade Healthcare Plc) 7 tablet (product)
Candesartan,ARB,19864311000001103,Amias 4mg tablets (Lexon (UK) Ltd) (product)
Candesartan,ARB,19864511000001109,Amias 4mg tablets (Lexon (UK) Ltd) 30 tablet (product)
Candesartan,ARB,19864711000001104,Amias 8mg tablets (Lexon (UK) Ltd) (product)
Candesartan,ARB,19864811000001107,Amias 8mg tablets (Lexon (UK) Ltd) 30 tablet (product)
Candesartan,ARB,19864911000001102,Amias 16mg tablets (Lexon (UK) Ltd) (product)
Candesartan,ARB,19865011000001102,Amias 16mg tablets (Lexon (UK) Ltd) 30 tablet (product)
Candesartan,ARB,20163811000001102,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) 7 tablet (product)
Candesartan,ARB,20311311000001100,Amias 4mg tablets (Waymade Healthcare Plc) 28 tablet (product)
Candesartan,ARB,20476011000001106,Candesartan 4mg tablets (Teva UK Ltd) (product)
Candesartan,ARB,20476111000001107,Candesartan 4mg tablets (Teva UK Ltd) 7 tablet (product)
Candesartan,ARB,20476211000001101,Candesartan 4mg tablets (Teva UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20476311000001109,Candesartan 8mg tablets (Teva UK Ltd) (product)
Candesartan,ARB,20476411000001102,Candesartan 8mg tablets (Teva UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20476511000001103,Candesartan 16mg tablets (Teva UK Ltd) (product)
Candesartan,ARB,20476611000001104,Candesartan 16mg tablets (Teva UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20476711000001108,Candesartan 32mg tablets (Teva UK Ltd) (product)
Candesartan,ARB,20476811000001100,Candesartan 32mg tablets (Teva UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20483511000001102,Candesartan 4mg tablets (Actavis UK Ltd) (product)
Candesartan,ARB,20483611000001103,Candesartan 4mg tablets (Actavis UK Ltd) 7 tablet (product)
Candesartan,ARB,20483711000001107,Candesartan 4mg tablets (Actavis UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20483811000001104,Candesartan 8mg tablets (Actavis UK Ltd) (product)
Candesartan,ARB,20483911000001109,Candesartan 8mg tablets (Actavis UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20484011000001107,Candesartan 16mg tablets (Actavis UK Ltd) (product)
Candesartan,ARB,20484111000001108,Candesartan 16mg tablets (Actavis UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20484211000001102,Candesartan 32mg tablets (Actavis UK Ltd) (product)
Candesartan,ARB,20484311000001105,Candesartan 32mg tablets (Actavis UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20493511000001101,Candesartan 2mg tablets (A A H Pharmaceuticals Ltd) (product)
Candesartan,ARB,20493611000001102,Candesartan 2mg tablets (A A H Pharmaceuticals Ltd) 7 tablet (product)
Candesartan,ARB,20495511000001102,Candesartan 4mg tablets (A A H Pharmaceuticals Ltd) (product)
Candesartan,ARB,20495611000001103,Candesartan 4mg tablets (A A H Pharmaceuticals Ltd) 7 tablet (product)
Candesartan,ARB,20495811000001104,Candesartan 4mg tablets (A A H Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,20495911000001109,Candesartan 8mg tablets (A A H Pharmaceuticals Ltd) (product)
Candesartan,ARB,20496011000001101,Candesartan 8mg tablets (A A H Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,20496211000001106,Candesartan 16mg tablets (A A H Pharmaceuticals Ltd) (product)
Candesartan,ARB,20496511000001109,Candesartan 16mg tablets (A A H Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,20497111000001102,Candesartan 32mg tablets (A A H Pharmaceuticals Ltd) (product)
Candesartan,ARB,20497411000001107,Candesartan 32mg tablets (A A H Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,20508711000001105,Candesartan 2mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
Candesartan,ARB,20508811000001102,Candesartan 2mg tablets (Alliance Healthcare (Distribution) Ltd) 7 tablet (product)
Candesartan,ARB,20508911000001107,Candesartan 4mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
Candesartan,ARB,20509011000001103,Candesartan 4mg tablets (Alliance Healthcare (Distribution) Ltd) 7 tablet (product)
Candesartan,ARB,20509111000001102,Candesartan 4mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet (product)
Candesartan,ARB,20509211000001108,Candesartan 8mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
Candesartan,ARB,20509311000001100,Candesartan 8mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet (product)
Candesartan,ARB,20509411000001107,Candesartan 16mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
Candesartan,ARB,20509611000001105,Candesartan 16mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet (product)
Candesartan,ARB,20509711000001101,Candesartan 32mg tablets (Alliance Healthcare (Distribution) Ltd) (product)
Candesartan,ARB,20509811000001109,Candesartan 32mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet (product)
Candesartan,ARB,20530011000001102,Candesartan 4mg tablets (Consilient Health Ltd) (product)
Candesartan,ARB,20530111000001101,Candesartan 4mg tablets (Consilient Health Ltd) 7 tablet (product)
Candesartan,ARB,20530211000001107,Candesartan 4mg tablets (Consilient Health Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,20530311000001104,Candesartan 8mg tablets (Consilient Health Ltd) (product)
Candesartan,ARB,20530411000001106,Candesartan 8mg tablets (Consilient Health Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,20530511000001105,Candesartan 16mg tablets (Consilient Health Ltd) (product)
Candesartan,ARB,20530611000001109,Candesartan 16mg tablets (Consilient Health Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,20530711000001100,Candesartan 32mg tablets (Consilient Health Ltd) (product)
Candesartan,ARB,20530811000001108,Candesartan 32mg tablets (Consilient Health Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,20568211000001102,Candesartan 8mg tablets (Arrow Generics Ltd) (product)
Candesartan,ARB,20568311000001105,Candesartan 8mg tablets (Arrow Generics Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20568411000001103,Candesartan 4mg tablets (Arrow Generics Ltd) (product)
Candesartan,ARB,20568511000001104,Candesartan 4mg tablets (Arrow Generics Ltd) 7 tablet (product)
Candesartan,ARB,20568611000001100,Candesartan 4mg tablets (Arrow Generics Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20568711000001109,Candesartan 16mg tablets (Arrow Generics Ltd) (product)
Candesartan,ARB,20568811000001101,Candesartan 16mg tablets (Arrow Generics Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20568911000001106,Candesartan 32mg tablets (Arrow Generics Ltd) (product)
Candesartan,ARB,20569011000001102,Candesartan 32mg tablets (Arrow Generics Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,20595811000001108,Candesartan 2mg tablets (Teva UK Ltd) (product)
Candesartan,ARB,20595911000001103,Candesartan 2mg tablets (Teva UK Ltd) 7 tablet (product)
Candesartan,ARB,20912811000001108,Candesartan 4mg tablets (Zentiva) (product)
Candesartan,ARB,20912911000001103,Candesartan 4mg tablets (Zentiva) 28 tablet (product)
Candesartan,ARB,20913011000001106,Candesartan 8mg tablets (Zentiva) (product)
Candesartan,ARB,20913111000001107,Candesartan 8mg tablets (Zentiva) 28 tablet (product)
Candesartan,ARB,20913211000001101,Candesartan 16mg tablets (Zentiva) (product)
Candesartan,ARB,20913311000001109,Candesartan 16mg tablets (Zentiva) 28 tablet (product)
Candesartan,ARB,20913411000001102,Candesartan 32mg tablets (Zentiva) (product)
Candesartan,ARB,20913511000001103,Candesartan 32mg tablets (Zentiva) 28 tablet (product)
Candesartan,ARB,21666411000001103,Candesartan 2mg tablets (Actavis UK Ltd) (product)
Candesartan,ARB,21666511000001104,Candesartan 2mg tablets (Actavis UK Ltd) 7 tablet (product)
Candesartan,ARB,21812711000001102,Candesartan 2mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,21812811000001105,Candesartan 2mg tablets (Waymade Healthcare Plc) 7 tablet (product)
Candesartan,ARB,21812911000001100,Candesartan 4mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,21813111000001109,Candesartan 4mg tablets (Waymade Healthcare Plc) 7 tablet (product)
Candesartan,ARB,21813211000001103,Candesartan 4mg tablets (Waymade Healthcare Plc) 28 tablet (product)
Candesartan,ARB,21813311000001106,Candesartan 16mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,21813411000001104,Candesartan 16mg tablets (Waymade Healthcare Plc) 28 tablet (product)
Candesartan,ARB,21813511000001100,Candesartan 8mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,21813611000001101,Candesartan 8mg tablets (Waymade Healthcare Plc) 28 tablet (product)
Candesartan,ARB,21813711000001105,Candesartan 32mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,21813811000001102,Candesartan 32mg tablets (Waymade Healthcare Plc) 28 tablet (product)
Candesartan,ARB,21865611000001101,Amias 32mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,21865711000001105,Amias 32mg tablets (Waymade Healthcare Plc) 28 tablet (product)
Candesartan,ARB,22626011000001102,Candesartan 16mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,22626211000001107,Candesartan 16mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,22626311000001104,Candesartan 2mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,22626411000001106,Candesartan 2mg tablets (Doncaster Pharmaceuticals Ltd) 7 tablet (product)
Candesartan,ARB,22626511000001105,Candesartan 32mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,22626611000001109,Candesartan 32mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,22626711000001100,Candesartan 4mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,22626911000001103,Candesartan 4mg tablets (Doncaster Pharmaceuticals Ltd) 7 tablet (product)
Candesartan,ARB,22627011000001104,Candesartan 4mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,22627111000001103,Candesartan 8mg tablets (Doncaster Pharmaceuticals Ltd) (product)
Candesartan,ARB,22627211000001109,Candesartan 8mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
Candesartan,ARB,22942111000001102,Candesartan 4mg tablets (Ranbaxy (UK) Ltd) (product)
Candesartan,ARB,22942211000001108,Candesartan 4mg tablets (Ranbaxy (UK) Ltd) 7 tablet (product)
Candesartan,ARB,22944311000001107,Candesartan 4mg tablets (Ranbaxy (UK) Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,22944511000001101,Candesartan 8mg tablets (Ranbaxy (UK) Ltd) (product)
Candesartan,ARB,22944711000001106,Candesartan 8mg tablets (Ranbaxy (UK) Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,22944911000001108,Candesartan 16mg tablets (Ranbaxy (UK) Ltd) (product)
Candesartan,ARB,22945111000001109,Candesartan 16mg tablets (Ranbaxy (UK) Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,22947511000001109,Candesartan 2mg tablets (Ranbaxy (UK) Ltd) (product)
Candesartan,ARB,22947611000001108,Candesartan 2mg tablets (Ranbaxy (UK) Ltd) 7 tablet (product)
Candesartan,ARB,23646411000001104,Candesartan 2mg tablets (Phoenix Healthcare Distribution Ltd) (product)
Candesartan,ARB,23646511000001100,Candesartan 2mg tablets (Phoenix Healthcare Distribution Ltd) 7 tablet (product)
Candesartan,ARB,23646611000001101,Candesartan 4mg tablets (Phoenix Healthcare Distribution Ltd) (product)
Candesartan,ARB,23646711000001105,Candesartan 4mg tablets (Phoenix Healthcare Distribution Ltd) 7 tablet (product)
Candesartan,ARB,23646811000001102,Candesartan 4mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet (product)
Candesartan,ARB,23646911000001107,Candesartan 8mg tablets (Phoenix Healthcare Distribution Ltd) (product)
Candesartan,ARB,23647011000001106,Candesartan 8mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet (product)
Candesartan,ARB,23647111000001107,Candesartan 16mg tablets (Phoenix Healthcare Distribution Ltd) (product)
Candesartan,ARB,23647211000001101,Candesartan 16mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet (product)
Candesartan,ARB,23647311000001109,Candesartan 32mg tablets (Phoenix Healthcare Distribution Ltd) (product)
Candesartan,ARB,23647411000001102,Candesartan 32mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet (product)
Candesartan,ARB,24505711000001100,Candesartan 4mg tablets (Sandoz Ltd) (product)
Candesartan,ARB,24505811000001108,Candesartan 4mg tablets (Sandoz Ltd) 7 tablet (product)
Candesartan,ARB,24505911000001103,Candesartan 4mg tablets (Sandoz Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,24506011000001106,Candesartan 8mg tablets (Sandoz Ltd) (product)
Candesartan,ARB,24506111000001107,Candesartan 8mg tablets (Sandoz Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,24506211000001101,Candesartan 16mg tablets (Sandoz Ltd) (product)
Candesartan,ARB,24506311000001109,Candesartan 16mg tablets (Sandoz Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,24506411000001102,Candesartan 32mg tablets (Sandoz Ltd) (product)
Candesartan,ARB,24506511000001103,Candesartan 32mg tablets (Sandoz Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,24622611000001103,Candesartan 2mg tablets (Sandoz Ltd) (product)
Candesartan,ARB,24627811000001101,Candesartan 2mg tablets (Sandoz Ltd) 7 tablet (product)
Candesartan,ARB,29736811000001105,Amias 2mg tablets (Waymade Healthcare Plc) (product)
Candesartan,ARB,29736911000001100,Amias 2mg tablets (Waymade Healthcare Plc) 7 tablet (product)
Candesartan,ARB,29777011000001103,Candesartan 16mg tablets (Sigma Pharmaceuticals Plc) (product)
Candesartan,ARB,29777111000001102,Candesartan 16mg tablets (Sigma Pharmaceuticals Plc) 28 tablet (product)
